 Morbidade Hospitalar do SUS - por local de residência - São Paulo
Internações por Ano/mês atendimento e Faixa Etária 1
Município: 355030 SAO PAULO
Caráter atendimento: Urgência
Capítulo CID-10: X.   Doenças do aparelho respiratório
Lista Morb  CID-10: Influenza [gripe], Pneumonia, Bronquite aguda e bronquiolite aguda, Asma
Faixa Etária 1: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:Out-Nov/2011, Out-Nov/2012, Out-Nov/2013, Out-Nov/2014, Out-Nov/2015, Out-Nov/2016, Out-Nov/2017, Out-Nov/2018, Out-Nov/2019, Out-Nov/2020, Out-Nov/2021, Out-Nov/2022, Out-Nov/2023, Out-Nov/2024, Out-Nov/2025
"Ano/mês atendimento";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"2011";1672;1304;516;3492
"..Fevereiro/2011";-;1;-;1
"..Abril/2011";4;1;1;6
"..Maio/2011";2;1;1;4
"..Junho/2011";16;4;-;20
"..Julho/2011";60;27;2;89
"..Agosto/2011";89;50;14;153
"..Setembro/2011";356;254;94;704
"..Outubro/2011";747;624;255;1626
"..Novembro/2011";398;342;149;889
"2012";1137;1201;500;2838
"..Maio/2012";1;2;-;3
"..Junho/2012";5;4;-;9
"..Julho/2012";32;18;10;60
"..Agosto/2012";74;57;40;171
"..Setembro/2012";223;260;92;575
"..Outubro/2012";507;547;232;1286
"..Novembro/2012";295;313;126;734
"2013";1520;1382;535;3437
"..Abril/2013";1;-;-;1
"..Maio/2013";2;1;-;3
"..Junho/2013";5;3;2;10
"..Julho/2013";25;9;4;38
"..Agosto/2013";57;49;23;129
"..Setembro/2013";313;237;70;620
"..Outubro/2013";716;656;268;1640
"..Novembro/2013";401;427;168;996
"2014";1351;1519;526;3396
"..Abril/2014";1;-;-;1
"..Maio/2014";-;1;-;1
"..Junho/2014";1;4;-;5
"..Julho/2014";24;18;2;44
"..Agosto/2014";71;66;31;168
"..Setembro/2014";307;321;91;719
"..Outubro/2014";615;721;229;1565
"..Novembro/2014";332;388;173;893
"2015";1232;1234;396;2862
"..Maio/2015";-;-;1;1
"..Junho/2015";1;1;-;2
"..Julho/2015";5;7;4;16
"..Agosto/2015";44;48;17;109
"..Setembro/2015";258;248;77;583
"..Outubro/2015";588;583;170;1341
"..Novembro/2015";336;347;127;810
"2016";1327;1526;674;3527
"..Abril/2016";1;-;-;1
"..Maio/2016";-;1;-;1
"..Junho/2016";7;3;1;11
"..Julho/2016";33;17;1;51
"..Agosto/2016";51;57;21;129
"..Setembro/2016";305;321;126;752
"..Outubro/2016";592;726;312;1630
"..Novembro/2016";338;401;213;952
"2017";1240;1280;499;3019
"..Junho/2017";5;2;-;7
"..Julho/2017";30;22;6;58
"..Agosto/2017";88;98;29;215
"..Setembro/2017";272;271;91;634
"..Outubro/2017";542;554;220;1316
"..Novembro/2017";303;333;153;789
"2018";1804;1798;509;4111
"..Maio/2018";-;2;-;2
"..Junho/2018";1;1;-;2
"..Julho/2018";28;20;3;51
"..Agosto/2018";70;80;26;176
"..Setembro/2018";234;249;58;541
"..Outubro/2018";864;929;233;2026
"..Novembro/2018";607;517;189;1313
"2019";1606;1604;549;3759
"..Maio/2019";-;1;-;1
"..Junho/2019";1;-;-;1
"..Julho/2019";2;6;-;8
"..Agosto/2019";33;27;19;79
"..Setembro/2019";307;282;81;670
"..Outubro/2019";889;844;288;2021
"..Novembro/2019";374;444;161;979
"2020";169;412;375;956
"..Julho/2020";-;3;2;5
"..Agosto/2020";6;17;8;31
"..Setembro/2020";27;60;48;135
"..Outubro/2020";92;195;212;499
"..Novembro/2020";44;137;105;286
"2021";1800;1850;388;4038
"  Junho/2021";-;1;-;1
"  Julho/2021";3;6;2;11
"  Agosto/2021";32;39;25;96
"  Setembro/2021";224;312;73;609
"  Outubro/2021";778;839;156;1773
"  Novembro/2021";763;653;132;1548
"2022";1998;1679;707;4384
"..Maio/2022";2;3;-;5
"..Junho/2022";7;10;-;17
"..Julho/2022";35;36;11;82
"..Agosto/2022";74;98;65;237
"..Setembro/2022";197;193;131;521
"..Outubro/2022";926;793;320;2039
"..Novembro/2022";757;546;180;1483
"2023";1724;1242;607;3573
"Abril/2023";-;1;-;1
"Maio/2023";2;1;-;3
"Junho/2023";8;8;1;17
"Julho/2023";21;17;4;42
"Agosto/2023";86;102;56;244
"Setembro/2023";216;154;94;464
"Outubro/2023";750;533;267;1550
"Novembro/2023";641;426;185;1252
"2024";1307;1115;803;3225
"Abril/2024";1;-;-;1
"Maio/2024";-;1;-;1
"Junho/2024";6;-;3;9
"Julho/2024";33;18;3;54
"Agosto/2024";89;70;74;233
"Setembro/2024";179;135;90;404
"Outubro/2024";573;438;256;1267
"Novembro/2024";426;453;377;1256
"2025";1781;1378;750;3909
"Maio/2025";1;-;-;1
"Junho/2025";2;5;1;8
"Julho/2025";31;9;4;44
"Agosto/2025";61;31;24;116
"Setembro/2025";224;203;91;518
"Outubro/2025";940;710;337;1987
"Novembro/2025";522;420;293;1235
"Total";21668;20524;8334;50526
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a atualização.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
